word,count_c0,count_c1,log_odds_delta,z
অভিনয়ে,5,3,-0.28265634259181116,-0.3970096635652847
সময়ের,5,3,-0.28265634259181116,-0.3970096635652847
বিরক্তিকর,5,3,-0.28265634259181116,-0.3970096635652847
জন্য।,5,3,-0.28265634259181116,-0.3970096635652847
কথায়,5,3,-0.28265634259181116,-0.3970096635652847
শেষে,5,3,-0.28265634259181116,-0.3970096635652847
বউ,5,3,-0.28265634259181116,-0.3970096635652847
এসব,15,8,-0.17095353252644774,-0.4011485413859222
নিয়ে,15,8,-0.17095353252644774,-0.4011485413859222
এটা,57,28,-0.0933109321084622,-0.4159009580056828
থ্রিলার,3,2,-0.3828897585843336,-0.42977375481683877
পারেন,3,2,-0.3828897585843336,-0.42977375481683877
করলাম,3,2,-0.3828897585843336,-0.42977375481683877
মারকা,3,2,-0.3828897585843336,-0.42977375481683877
দা,3,2,-0.3828897585843336,-0.42977375481683877
ওপর,3,2,-0.3828897585843336,-0.42977375481683877
যেনো,3,2,-0.3828897585843336,-0.42977375481683877
দরে,3,2,-0.3828897585843336,-0.42977375481683877
ঘরে,3,2,-0.3828897585843336,-0.42977375481683877
বাচ্চা,3,2,-0.3828897585843336,-0.42977375481683877
ভিডিও,3,2,-0.3828897585843336,-0.42977375481683877
মেরে,3,2,-0.3828897585843336,-0.42977375481683877
রেখে,3,2,-0.3828897585843336,-0.42977375481683877
কারণ,3,2,-0.3828897585843336,-0.42977375481683877
সকলের,3,2,-0.3828897585843336,-0.42977375481683877
তিনি,3,2,-0.3828897585843336,-0.42977375481683877
নিখুঁত,3,2,-0.3828897585843336,-0.42977375481683877
দেখেছি।,3,2,-0.3828897585843336,-0.42977375481683877
আসবে,3,2,-0.3828897585843336,-0.42977375481683877
ফুটিয়ে,3,2,-0.3828897585843336,-0.42977375481683877
ইন্ডিয়া,3,2,-0.3828897585843336,-0.42977375481683877
শাবনূরের,3,2,-0.3828897585843336,-0.42977375481683877
"সুন্দর,",3,2,-0.3828897585843336,-0.42977375481683877
বলি,3,2,-0.3828897585843336,-0.42977375481683877
যাচ্ছে,3,2,-0.3828897585843336,-0.42977375481683877
একশন,3,2,-0.3828897585843336,-0.42977375481683877
দরকার।,3,2,-0.3828897585843336,-0.42977375481683877
হৃদয়,3,2,-0.3828897585843336,-0.42977375481683877
শাবানার,3,2,-0.3828897585843336,-0.42977375481683877
ডিপজলের,3,2,-0.3828897585843336,-0.42977375481683877
বেচে,3,2,-0.3828897585843336,-0.42977375481683877
খারাপ,16,9,-0.2215207740152776,-0.5457703491692105
যেন,14,8,-0.2364522701677947,-0.547567592096686
দিয়ে,20,11,-0.20023313908375773,-0.5477474790964547
এখন,22,12,-0.19237934336715323,-0.5505340178093032
ভাষা,12,7,-0.25601581004506446,-0.5523513618210009
ছবিতে,12,7,-0.25601581004506446,-0.5523513618210009
কেমন,10,6,-0.2827657177313103,-0.5616737086989387
নি,10,6,-0.2827657177313103,-0.5616737086989387
বলবো,8,5,-0.3215659335211507,-0.5783302860575863
অবস্থা,4,3,-0.4952587953395078,-0.6638348686508269
যেটা,4,3,-0.4952587953395078,-0.6638348686508269
দেব,4,3,-0.4952587953395078,-0.6638348686508269
নাই।,4,3,-0.4952587953395078,-0.6638348686508269
হয়না,4,3,-0.4952587953395078,-0.6638348686508269
করেছে।,4,3,-0.4952587953395078,-0.6638348686508269
অহংকার,4,3,-0.4952587953395078,-0.6638348686508269
চেয়ে,4,3,-0.4952587953395078,-0.6638348686508269
দেখলেই,4,3,-0.4952587953395078,-0.6638348686508269
হারিয়ে,4,3,-0.4952587953395078,-0.6638348686508269
এ,25,14,-0.21743482614344067,-0.6687138767802032
শুধু,27,15,-0.20989087922550187,-0.6691934661194193
তার,29,16,-0.2033422308331403,-0.6704646180054574
ছিলো,21,12,-0.2365773282115704,-0.6709852922551457
অসাধারন,17,10,-0.26407418815953676,-0.679846174795666
একদম,15,9,-0.28287517811388696,-0.6881732872358552
একজন,13,8,-0.30692909029714155,-0.7004293792588816
থেকে,53,28,-0.16241064044405462,-0.7142477678755673
যদি,11,7,-0.3388035283009554,-0.7183306476734108
